,PCC
Amenity_Yard,-0.03291476526504784
Amenity_High_Speed_Internet_Access,-0.03407967139252441
Amenity_Tile_Floors,-0.04169806895932318
Amenity_Porch,-0.04561434463043413
Amenity_Walk_Up,-0.04657164751802064
Amenity_Individual_Locking_Bedrooms,-0.05612538823238329
Amenity_Roommate_Matching,-0.058596090726900245
Amenity_Disposal,-0.06610762372250477
Amenity_Fireplace,-0.06892422758117242
Amenity_Instant_Hot_Water,-0.08132032990511748
Amenity_Basketball_Court,-0.0898222570175096
Amenity_Gas_Range,-0.09881229803040334
Amenity_Ceiling_Fans,-0.09974854440785273
Amenity_Laundry_Facilities,-0.1350244895194572
Amenity_Intercom,-0.1372872439302221
Amenity_Coffee_System,
